Force_1_N,Force_2_N,Force_3_N,Force_4_N
-0.04,-1.02,1.66,-1.02
-0.04,-1.02,1.66,-1.01
-0.04,-1.01,1.66,-1.02
-0.05,-1.02,1.66,-1.02
-0.05,-1.01,1.65,-1.02
-0.04,-1.02,1.66,-1.02
-0.05,-1.01,1.65,-1.01
-0.05,-1.02,1.66,-1.02
-0.04,-1.01,1.65,-1.02
-0.05,-1.02,1.65,-1.02
-0.05,-1.02,1.66,-1.01
-0.04,-1.01,1.66,-1.01
-0.04,-1.01,1.67,-1.02
-0.05,-1.01,1.65,-1.02
-0.05,-1.02,1.65,-1.02
-0.04,-1.01,1.66,-1.02
-0.05,-1.01,1.65,-1.01
-0.05,-1.01,1.65,-1.03
-0.05,-1.02,1.65,-1.02
-0.04,-1.02,1.65,-1.02
-0.05,-1.02,1.66,-1.02
-0.05,-1.02,1.65,-1.02
-0.05,-1.02,1.66,-1.03
-0.04,-1.01,1.65,-1.01
-0.05,-1.01,1.66,-1.02
-0.05,-1.02,1.66,-1.01
-0.05,-1.03,1.65,-1.03
-0.05,-1.03,1.65,-1.02
-0.05,-1.01,1.65,-1.02
-0.04,-1.02,1.65,-1.02
-0.05,-1.02,1.66,-1.02
-0.05,-1.02,1.66,-1.01
-0.05,-1.02,1.66,-1.01
-0.05,-1.03,1.65,-1.01
-0.05,-1.02,1.66,-1.02
-0.06,-1.02,1.66,-1.01
-0.06,-1.02,1.66,-1.02
-0.05,-1.03,1.66,-1.02
-0.05,-1.02,1.65,-1.01
-0.06,-1.02,1.64,-1.02
-0.06,-1.02,1.65,-1.02
-0.05,-1.01,1.65,-1.01
-0.06,-1.03,1.65,-1.01
-0.05,-1.02,1.65,-1.01
-0.06,-1.02,1.65,-1.02
-0.05,-1.02,1.66,-1.01
-0.06,-1.02,1.65,-1.01
-0.06,-1.02,1.66,-1.02
-0.05,-1.01,1.66,-1.02
-0.06,-1.03,1.66,-1.01
-0.06,-1.02,1.65,-1.01
-0.06,-1.02,1.66,-1.01
-0.05,-1.01,1.64,-1.01
-0.05,-1.02,1.66,-1.01
-0.06,-1.01,1.66,-1.01
-0.06,-1.02,1.66,-1.01
-0.06,-1.02,1.66,-1.01
-0.06,-1.02,1.66,-1.00
-0.06,-1.01,1.66,-1.01
-0.06,-1.00,1.65,-1.01
-0.06,-1.02,1.65,-1.01
-0.06,-1.00,1.66,-1.00
-0.06,-1.01,1.66,-1.01
-0.05,-1.01,1.66,-1.01
-0.05,-1.01,1.66,-1.01
-0.07,-1.01,1.66,-1.01
-0.05,-1.02,1.65,-1.01
-0.06,-1.02,1.65,-1.01
-0.07,-1.01,1.66,-1.01
-0.06,-1.02,1.65,-1.00
-0.06,-1.00,1.67,-1.00
-0.05,-1.01,1.65,-1.01
-0.07,-1.01,1.66,-1.01
-0.06,-1.02,1.67,-1.01
-0.07,-1.01,1.67,-1.02
-0.07,-1.01,1.66,-1.00
-0.07,-1.02,1.65,-1.00
-0.07,-1.02,1.66,-1.01
-0.06,-1.01,1.66,-1.02
-0.06,-1.01,1.66,-1.01
-0.06,-1.01,1.66,-1.01
-0.07,-1.01,1.67,-1.00
-0.06,-1.01,1.66,-1.00
-0.08,-1.01,1.66,-1.01
-0.07,-1.01,1.67,-1.02
-0.08,-1.01,1.66,-1.00
-0.08,-1.01,1.66,-1.00
-0.07,-1.02,1.67,-1.01
-0.08,-1.01,1.66,-1.01
-0.08,-1.01,1.66,-1.00
-0.07,-1.01,1.66,-1.01
-0.08,-1.01,1.67,-1.01
-0.08,-1.01,1.66,-1.01
-0.08,-1.02,1.67,-1.01
-0.09,-1.02,1.65,-1.00
-0.08,-1.01,1.66,-1.01
-0.09,-1.01,1.67,-1.02
-0.09,-1.01,1.66,-1.01
-0.09,-1.02,1.67,-1.01
-0.09,-1.02,1.66,-1.01
-0.08,-1.01,1.66,-1.01
-0.09,-1.01,1.66,-1.01
-0.09,-1.01,1.66,-1.01
-0.09,-1.01,1.66,-1.02
-0.09,-1.01,1.67,-1.01
-0.09,-1.02,1.66,-1.02
-0.09,-1.02,1.66,-1.02
-0.09,-1.01,1.67,-1.02
-0.10,-1.02,1.67,-1.02
-0.09,-1.01,1.66,-1.02
-0.09,-1.02,1.66,-1.02
-0.09,-1.02,1.66,-1.02
-0.09,-1.01,1.66,-1.02
-0.10,-1.01,1.65,-1.01
-0.09,-1.01,1.67,-1.01
-0.10,-1.01,1.66,-1.02
-0.10,-1.01,1.66,-1.02
-0.09,-1.02,1.66,-1.01
-0.08,-1.01,1.66,-1.01
-0.09,-1.02,1.68,-1.00
-0.08,-1.01,1.66,-1.02
-0.10,-1.02,1.67,-1.01
-0.08,-1.02,1.65,-1.01
-0.09,-1.03,1.67,-1.01
-0.09,-1.02,1.67,-1.01
-0.09,-1.01,1.67,-1.01
-0.09,-1.01,1.66,-1.00
-0.08,-1.01,1.67,-1.02
-0.09,-1.01,1.66,-1.02
-0.09,-1.01,1.67,-1.00
-0.10,-1.02,1.67,-1.01
-0.09,-1.01,1.67,-1.00
-0.08,-1.01,1.67,-1.01
-0.09,-1.01,1.66,-1.02
-0.09,-1.01,1.67,-1.01
-0.09,-1.01,1.68,-1.01
-0.08,-1.01,1.67,-1.00
-0.08,-1.02,1.67,-1.01
